system,best_all,best_10,best_1
PV-001857387691,2.18193431403893,2.18193431403893,5.519665995554382
PV-001914655641,2.233273282241641,3.9412461717900333,5.749075095751438
PV-002013429993,3.7146353302976585,3.7146353302976585,5.609798663574586
PV-002019069689,n.a.,n.a.,n.a.,n.a.
PV-002019780159,2.6360999326491332,2.6360999326491332,3.264455845035635
PV-002032268160,n.a.,n.a.,n.a.,n.a.
PV-002042977989,3.030099249331245,3.030099249331245,3.030099249331245
Z1022426824,0.47027480784931747,1.2061656874859623,1.5505862591088726
Z1070904302,n.a.,n.a.,n.a.,n.a.
Z1095050586,0.6251059000558573,4.172375212757893,6.043068092255915
Z115536850,3.1064338410981702,3.530073673532733,5.074495117445406
Z1865600915,1.9379525293100908,1.9379525293100908,5.952512151771904
Z2840719247,1.3798765200059506,1.3798765200059506,1.7898813577086636
Z2902695331,n.a.,n.a.,n.a.,n.a.
Z729482774,1.0939832002280447,1.172123345099536,1.9884109819143467
Z851257696,n.a.,n.a.,n.a.,n.a.
ZINC000013372011,1.2995852142767153,1.2995852142767153,3.671790091505812
ZINC000040390788,2.266993694716186,2.266993694716186,2.266993694716186
ZINC001322364044,2.3273495107984132,2.777802117896071,6.359593447570887
PV-002004359614,n.a.,n.a.,n.a.,n.a.
Z1097024691,2.3774961250212376,2.3774961250212376,2.3774961250212376
Z33451704,1.9466160707483204,2.0807915111518995,7.074028042928292
Z49903699,2.1489899826434113,2.1489899826434113,2.259526442600243
Z795160176,n.a.,n.a.,n.a.,n.a.
Z645472842,n.a.,n.a.,n.a.,n.a.
Z1281625251,0.4602437140985071,2.2182249964252123,5.128215375593791
ZINC000096319666,0.25260068169589867,0.7982882918753195,3.7285505095946134
PV-001798685621,1.1441730578580007,1.5071899355930969,3.0951625190821983
PV-001836628586,1.5846611199302374,2.052084686730849,3.570406482591259
PV-002011719663,2.680099423355141,2.680099423355141,2.9066754879958485
PV-002023524098,6.660112990216382,6.660112990216382,6.660112990216382
PV-002032794616,1.1357450605486048,1.1357450605486048,4.209917431938187
Z1147533771,2.131686836930384,2.131686836930384,7.391696155097386
Z116504226,2.588274733025455,2.588274733025455,4.76490916049943
Z165057646,4.386322565270932,4.386322565270932,8.366843242796955
Z1840327359,2.539701357323585,2.539701357323585,2.680004691548535
Z230575688,n.a.,n.a.,n.a.,n.a.
Z286472536,2.3761675515469625,2.3761675515469625,5.788922845723078
Z31300141,1.9180544348880113,1.9180544348880113,1.9180544348880113
Z380599110,4.123262102049194,4.123262102049194,8.674949846751069
Z64344437,2.432822464922861,2.432822464922861,6.240000454616255
Z847964730,0.9114862511059134,1.9853021444539851,2.544284996129515
ZINC000016607715,3.1113219523019198,3.764890413518181,3.8132293855786483
ZINC000016735053,2.201254335530394,3.227225070052874,7.087853082959417
ZINC000019962213,5.340429413611195,5.340429413611195,8.92640168836182
ZINC000041154385,2.3409820845489,4.220182468572554,6.065347289865853
ZINC000329022635,1.5704257004002247,1.5704257004002247,1.6109682971066446
PV-002025015015,n.a.,n.a.,n.a.,n.a.
Z1118616384,0.6250032496078379,0.6250032496078379,0.6250032496078379
Z1157843291,0.5332800988394671,0.5332800988394671,0.7554307975051191
Z735413410,2.2387187299517404,2.2387187299517404,3.366960345135402
Z852158894,1.7242708246230771,3.1605311196224624,5.596255919225062
ZINC000101495288,1.5190929467010865,1.6927420914815519,10.575411447675158
ZINC001156200858,0.35701936597787515,1.0740820654995895,1.0740820654995895
PV-001843186024,2.028874443986302,2.25213816715215,6.746230361210648
PV-001876053561,0.8582520748537542,1.4724055853524962,1.6850905531117666
PV-001898751745,0.8169244133741537,0.8169244133741537,1.376698420916114
Z1155235894,n.a.,n.a.,n.a.,n.a.
Z30529474,n.a.,n.a.,n.a.,n.a.
ZINC000003298225,1.6691449604272748,2.0652011845993057,4.268706584472748
PV-002025227680,1.2172736810612361,1.2172736810612361,5.403397956520359
Z1002658444,4.4029145445959,4.513223700740986,4.859085776860967
Z1160992807,n.a.,n.a.,n.a.,n.a.
Z242070602,n.a.,n.a.,n.a.,n.a.
Z2699500125,0.4499169513064788,0.5265086078916724,1.5238237322478625
Z441915964,1.8359961754052379,2.5532644196773067,2.950277536619972
Z51677152,3.627385843002727,3.627385843002727,7.044687086164068
Z785486256,2.5021370143823884,2.5021370143823884,3.796512794137634
Z966926156,1.9506072257148892,2.0798613755282727,2.3941449095405494
Z997743992,1.7082637335281694,5.650155168012212,6.019539790968792
ZINC000009232876,0.3289341428274345,0.3289341428274345,1.8320701891751705
ZINC000064971628,n.a.,n.a.,n.a.,n.a.
PV-001833709018,0.9397004322594459,2.666147233008463,2.666147233008463
PV-001874522098,2.0108265940431145,2.0108265940431145,4.303318354284714
PV-002006531322,3.8162188289763948,3.8162188289763948,7.614512940022327
PV-002038669041,n.a.,n.a.,n.a.,n.a.
Z1134939996,2.605548410560595,2.605548410560595,3.640318948900142
Z169873966,3.226076695180279,4.3515791663612395,6.654768338465927
Z232509592,2.5998693113989457,4.1199828092276904,7.668575416856009
Z315119240,2.2696933347874566,3.156925467391456,9.412484998777021
Z749991222,5.110829881213886,5.383039387467294,9.114591041880066
Z758345456,0.8496856839057796,0.8496856839057796,7.420030633386033
Z795143982,4.90526564135271,4.90526564135271,4.90526564135271
Z913497080,3.6143725064037757,3.6143725064037757,7.462704536511517
Z932784488,0.7103112662117972,3.036434533322646,6.352489372856364
ZINC000001362250,3.0436777585574326,4.027546089895641,7.509325348162917
ZINC000006181535,n.a.,n.a.,n.a.,n.a.
ZINC000034792556,6.262853972845691,6.262853972845691,6.346829673111134
PV-001866100789,0.45192205008508723,0.45192205008508723,0.7808490183363461
PV-002030096697,n.a.,n.a.,n.a.,n.a.
ZINC000002416703,1.5819326843709403,5.203486179244952,5.508077477287008
ZINC000004551907,1.975397351770029,1.975397351770029,1.975397351770029
Z2142751374,0.39473666503772636,0.7087857354499975,0.753190460306255
Z384651614,n.a.,n.a.,n.a.,n.a.
PV-002041859976,4.04674360372457,4.04674360372457,4.04674360372457
PV-002011198451,4.532131815503605,4.532131815503605,8.565383801313516
PV-002033162514,n.a.,n.a.,n.a.,n.a.
Z1662726236,0.7584004400767763,3.154701475658044,3.6806496851332224
Z316677874,1.3340695617531517,1.3340695617531517,2.761672005404474
Z739789946,5.011818760708269,5.011818760708269,5.011818760708269
Z850553138,0.82518843695661,0.82518843695661,1.196380630780442
